date,acres,county,cause,lat,lon,binlat,binlon
Sep,0.0,GARFIELD,Lightning,46.259262,-117.427248,3,8
Aug,0.1,KITSAP,Recreation,47.62671,-122.769959,2,3
Aug,0.2,PEND OREILLE,Lightning,48.102249,-117.129452,1,8
Aug,0.1,MASON,Recreation,47.498853,-123.308229,2,2
Aug,0.1,MASON,Recreation,47.498853,-123.308229,2,2
Aug,0.1,MASON,Recreation,47.498853,-123.308229,2,2
Sep,0.0,KLICKITAT,Miscellaneou,45.911309,-121.495432,4,4
Aug,2.0,STEVENS,Miscellaneou,48.537862,-117.938545,1,8
Jun,0.1,FERRY,Recreation,48.992888,-118.530274,1,7
Sep,0.0,SAN JUAN,Debris Burn,48.667,-122.916222,1,3
Apr,0.1,SAN JUAN,Miscellaneou,48.667,-122.916222,1,3
Jul,12.0,SPOKANE,Debris Burn,47.839894,-117.462284,2,8
Jul,0.1,STEVENS,Lightning,48.445536,-118.138996,1,7
Jul,0.0,PACIFIC,Recreation,46.439909,-124.044521,3,1
Jul,0.3,STEVENS,Debris Burn,48.490416,-118.030726,1,7
Aug,0.2,KITSAP,Children,47.831156,-122.61719,2,3
Sep,0.1,FERRY,Lightning,48.613369,-118.692286,1,7
Jun,0.1,OKANOGAN,Smoker,48.837395,-119.683609,1,6
Mar,0.3,STEVENS,Debris Burn,48.603361,-117.9439,1,8
Jul,0.0,LEWIS,Arson,46.510799,-122.210125,3,3
Sep,0.8,KITTITAS,Recreation,47.316006,-120.980302,2,5
Jul,0.0,KING,Recreation,47.240849,-121.971358,2,4
Oct,2.0,LEWIS,Debris Burn,46.438313,-123.083566,3,2
Sep,0.0,LEWIS,Lightning,46.438313,-123.083566,3,2
Jun,0.2,STEVENS,Debris Burn,48.230601,-118.007537,1,7
Aug,0.1,THURSTON,Miscellaneou,47.030172,-123.047136,2,2
Aug,0.1,THURSTON,Debris Burn,47.030172,-123.047136,2,2
Jun,0.7,PIERCE,Debris Burn,47.372538,-122.739947,2,3
Aug,1.0,GRAYS HARBOR,Smoker,47.043803,-124.139587,2,1
Apr,0.5,GRAYS HARBOR,Debris Burn,47.028677,-123.631086,2,2
Jul,0.1,STEVENS,Lightning,48.028261,-118.002253,1,7
Aug,0.1,PIERCE,Miscellaneou,47.158165,-121.665665,2,4
Sep,0.0,MASON,Recreation,47.500028,-122.835688,2,3
Jun,0.1,SNOHOMISH,Debris Burn,48.188531,-122.323919,1,3
Jul,0.1,SNOHOMISH,Debris Burn,48.188531,-122.323919,1,3
Jan,0.0,FERRY,Miscellaneou,48.887871,-118.724086,1,7
Sep,0.5,OKANOGAN,Miscellaneou,48.532062,-119.360008,1,6
Aug,2.0,SKAMANIA,Smoker,45.639143,-121.986155,4,4
Aug,0.3,SPOKANE,Miscellaneou,47.341489,-117.464344,2,8
May,3.5,KLICKITAT,Recreation,45.963863,-121.082711,4,4
Jul,1.0,WHATCOM,None,48.680434,-121.816836,1,4
Jul,0.1,SPOKANE,Lightning,48.022942,-117.286869,1,8
Sep,0.1,THURSTON,Miscellaneou,47.015325,-123.057545,2,2
Aug,0.3,THURSTON,Miscellaneou,47.063663,-122.963317,2,3
Jul,0.1,SPOKANE,Miscellaneou,47.799486,-117.11994,2,8
Aug,1.0,STEVENS,Miscellaneou,47.982593,-117.577056,2,8
Jun,0.1,CLARK,Arson,45.783011,-122.508718,4,3
Jan,0.0,COWLITZ,Recreation,46.320273,-122.732649,3,3
Aug,0.2,COWLITZ,Miscellaneou,46.320273,-122.732649,3,3
Jun,0.0,OKANOGAN,Lightning,48.228602,-119.87429,1,6
Jul,0.0,OKANOGAN,Lightning,48.228602,-119.87429,1,6
Jun,0.1,SAN JUAN,Debris Burn,48.4654,-122.969303,1,3
Sep,0.0,SPOKANE,Lightning,47.823745,-117.507897,2,8
Jul,1.0,PIERCE,Debris Burn,46.983417,-122.481455,3,3
Jan,0.0,PEND OREILLE,Miscellaneou,48.777432,-117.506675,1,8
Sep,1.0,LEWIS,Miscellaneou,46.5338,-121.915708,3,4
Jun,96.0,THURSTON,Debris Burn,47.099782,-122.998951,2,3
Sep,0.0,SKAMANIA,Railroad,45.638974,-121.995331,4,4
Sep,0.0,STEVENS,Lightning,48.407244,-118.103653,1,7
May,0.0,MASON,Arson,47.251995,-123.310174,2,2
